Symbol,Security Name
BBTC,BOMBAY BURMAH TRADING CORPORATION LIMITED
BBTCL,B&B TRIPLEWALL CONTAINERS LIMITED
BCLIND,BCL INDUSTRIES LIMITED
BCONCEPTS,BRAND CONCEPTS LIMITED
BEACON,BEACON TRUSTEESHIP LIMITED
BEARDSELL,BEARDSELL LIMITED
BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED
BEDMUTHA,BEDMUTHA INDUSTRIES LIMITED
BELLACASA,BELLA CASA FASHION & RETAIL LIMITED
BELRISE,BELRISE INDUSTRIES LIMITED
BEML,BEML LIMITED
BEPL,BHANSALI ENGINEERING POLYMERS LIMITED
BERGEPAINT,BERGER PAINTS (I) LIMITED
BETA,BETA DRUGS LIMITED
BFINVEST,BF INVESTMENT LIMITED
BFSI,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY FINANCIAL SERVICES ETF
BFUTILITIE,BF UTILITIES LIMITED
BHADORA,BHADORA INDUSTRIES LIMITED
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED
BHAGERIA,BHAGERIA INDUSTRIES LIMITED
BHALCHANDR,BHALCHANDRAM CLOTHING LIMITED
BHANDARI,BHANDARI HOSIERY EXPORTS LIMITED
BHARATGEAR,BHARAT GEARS LIMITED
BHARATRAS,BHARAT RASAYAN LIMITED
BHARATWIRE,BHARAT WIRE ROPES LIMITED
BHARTIHEXA,BHARTI HEXACOM LIMITED
BIGBLOC,BIGBLOC CONSTRUCTION LIMITED
BIKAJI,BIKAJI FOODS INTERNATIONAL LIMITED
BIRET,BROOKFIELD INDIA REAL ESTATE TRUST
BIRLACORPN,BIRLA CORPORATION LIMITED
BIRLAMONEY,ADITYA BIRLA MONEY LIMITED
BIRLANU,BIRLANU LIMITED
BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED
BLAL,BEML LAND ASSETS LIMITED
BLBLIMITED,BLB LIMITED
BLISSGVS,BLISS GVS PHARMA LIMITED
BLKASHYAP,B. L. KASHYAP AND SONS LIMITED
BLS,BLS INTERNATIONAL SERVICES LIMITED
BLUEDART,BLUE DART EXPRESS LIMITED
BLUEPEBBLE,BLUE PEBBLE LIMITED
BLUESTONE,BLUESTONE JEWELLERY AND LIFESTYLE LIMITED
BLUEWATER,BLUE WATER LOGISTICS LIMITED
BLUSPRING,BLUSPRING ENTERPRISES LIMITED
BMETRICS,BOMBAY METRICS SUPPLY CHAIN LIMITED
BODALCHEM,BODAL CHEMICALS LIMITED
BOMDYEING,BOMBAY DYEING & MFG COMPANY LIMITED
BORANA,BORANA WEAVES LIMITED
BOROLTD,BOROSIL LIMITED
BORORENEW,BOROSIL RENEWABLES LIMITED
BOROSCI,BOROSIL SCIENTIFIC LIMITED
BPL,BPL LIMITED
BRACEPORT,BRACE PORT LOGISTICS LIMITED
BRIGADE,BRIGADE ENTERPRISES LIMITED
BRIGHOTEL,BRIGADE HOTEL VENTURES LIMITED
BRNL,BHARAT ROAD NETWORK LIMITED
BSE500IETF,ICICI PRUDENTIAL BSE 500 ETF
BSHSL,BOMBAY SUPER HYBRID SEEDS LIMITED
BSL,BSL LIMITED
BSLGOLDETF,ADITYA BIRLA SUN LIFE GOLD ETF - GROWTH
BSLNIFTY,ADITYA BIRLA SUN LIFE NIFTY 50 ETF
BSLSENETFG,ADITYA BIRLA SUN LIFE BSE SENSEX ETF
BSOFT,BIRLASOFT LIMITED
BTML,BODHI TREE MULTIMEDIA LIMITED
BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANCES LIMITED
CAMPUS,CAMPUS ACTIVEWEAR LIMITED
CANARYS,CANARYS AUTOMATIONS LIMITED
CANFINHOME,CAN FIN HOMES LIMITED
CANTABIL,CANTABIL RETAIL INDIA LIMITED
CAPACITE,CAPACITE INFRAPROJECTS LIMITED
CAPINVIT,CAPITAL INFRA TRUST
CAPITALSFB,CAPITAL SMALL FINANCE BANK LIMITED
CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED
CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED
CARERATING,CARE RATINGS LIMITED
CARRARO,CARRARO INDIA LIMITED
CARTRADE,CARTRADE TECH LIMITED
CARYSIL,CARYSIL LIMITED
CASHIETF,ICICI PRUDENTIAL MF-ICICI PRUDENTIAL BSE LIQUID RATE ETF-GROWTH
CASTROLIND,CASTROL INDIA LIMITED
CCCL,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED
CCHHL,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED
CCL,CCL PRODUCTS (INDIA) LIMITED
CEATLTD,CEAT LIMITED
CEDAAR,CEDAAR TEXTILE LIMITED
CELEBRITY,CELEBRITY FASHIONS LIMITED
CELLO,CELLO WORLD LIMITED
CELLPOINT,CELL POINT (INDIA) LIMITED
CENTENKA,CENTURY ENKA LIMITED
CENTEXT,CENTURY EXTRUSIONS LIMITED
CENTRALBK,CENTRAL BANK OF INDIA
CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED
CERA,CERA SANITARYWARE LIMITED
CESC,CESC LIMITED
CEWATER,CONCORD ENVIRO SYSTEMS LIMITED
CGCL,CAPRI GLOBAL CAPITAL LIMITED
CGRAPHICS,CREATIVE GRAPHICS SOLUTIONS INDIA LIMITED
CHALET,CHALET HOTELS LIMITED
CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS LIMITED
CHAMUNDA,CHAMUNDA ELECTRICAL LIMITED
CHAVDA,CHAVDA INFRA LIMITED
CHEMBOND,CHEMBOND MATERIAL TECHNOLOGIES LIMITED
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED
CHEMCON,CHEMCON SPECIALITY CHEMICALS LIMITED
CHEMFAB,CHEMFAB ALKALIS LIMITED
CHEMPLASTS,CHEMPLAST SANMAR LIMITED
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED
CHETANA,CHETANA EDUCATION LIMITED
CHEVIOT,CHEVIOT COMPANY LIMITED
CHOICEIN,CHOICE INTERNATIONAL LIMITED
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED
CIFL,CAPITAL INDIA FINANCE LIMITED
CIGNITITEC,CIGNITI TECHNOLOGIES LIMITED
CLASSICEIL,CLASSIC ELECTRODES (INDIA) LIMITED
CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED
CLSEL,CHAMAN LAL SETIA EXPORTS LIMITED
CLSL,CROP LIFE SCIENCE LIMITED
CMNL,CHAMAN METALLICS LIMITED
CMSINFO,CMS INFO SYSTEMS LIMITED
COASTCORP,COASTAL CORPORATION LIMITED
COCHINSHIP,COCHIN SHIPYARD LIMITED
COHANCE,COHANCE LIFESCIENCES LIMITED
COMMOIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRUDENTIAL NIFTY COMMODITIES ETF
COMPUSOFT,COMPUCOM SOFTWARE LIMITED
COMSYN,COMMERCIAL SYN BAGS LIMITED
CONCORDBIO,CONCORD BIOTECH LIMITED
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED
CONNPLEX,CONNPLEX CINEMAS LIMITED
CONS,KOTAK NIFTY INDIA CONSUMPTION ETF
CONSOFINVT,CONSOLIDATED FINVEST & HOLDINGS LIMITED
CONSUMBEES,NIPPON INDIA ETF NIFTY INDIA CONSUMPTION
CONSUMER,MIRAE ASSET MF- MIRAE ASSET NIFTY INDIA NEW AGE CONSUMPTION ETF
CONSUMIETF,ICICI PRUDENTIAL NIFTY INDIA CONSUMPTION ETF
CONTROLPR,CONTROL PRINT LIMITED
COOLCAPS,COOL CAPS INDUSTRIES LIMITED
CORALFINAC,CORAL INDIA FINANCE & HOUSING LIMITED
CORDSCABLE,CORDS CABLE INDUSTRIES LIMITED
COROMANDEL,COROMANDEL INTERNATIONAL LIMITED
COSMOFIRST,COSMO FIRST LIMITED
CPCAP,CP CAPITAL LIMITED
CPSEETF,CPSE ETF
CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED
CRAYONS,CRAYONS ADVERTISING LIMITED
CREATIVE,CREATIVE NEWTECH LIMITED
CREDITACC,CREDITACCESS GRAMEEN LIMITED
CREST,CREST VENTURES LIMITED
CRISIL,CRISIL LIMITED
CROWN,CROWN LIFTERS LIMITED
CSBBANK,CSB BANK LIMITED
CSLFINANCE,CSL FINANCE LIMITED
CUB,CITY UNION BANK LIMITED
CUBEINVIT,CUBE HIGHWAYS TRUST
CUDML,CASH UR DRIVE MARKETING LIMITED
CUPID,CUPID LIMITED
CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE LIMITED
CYIENTDLM,CYIENT DLM LIMITED
DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED
DAMCAPITAL,DAM CAPITAL ADVISORS LIMITED
DAMODARIND,DAMODAR INDUSTRIES LIMITED
DANISH,DANISH POWER LIMITED
DATAMATICS,DATAMATICS GLOBAL SERVICES LIMITED
DATAPATTNS,DATA PATTERNS (INDIA) LIMITED
DAVANGERE,DAVANGERE SUGAR COMPANY LIMITED
DBCORP,D.B.CORP LIMITED
DBEIL,DEEPAK BUILDERS & ENGINEERS INDIA LIMITED
DBL,DILIP BUILDCON LIMITED
DBOL,DHAMPUR BIO ORGANICS LIMITED
DBREALTY,VALOR ESTATE LIMITED
DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKERS LIMITED
DCBBANK,DCB BANK LIMITED
DCCL,DAR CREDIT & CAPITAL LIMITED
DCI,DC INFOTECH AND COMMUNICATION LIMITED
DCM,DCM  LIMITED
DCMNVL,DCM NOUVELLE LIMITED
DCMSHRIRAM,DCM SHRIRAM LIMITED
DCMSRIND,DCM SHRIRAM INDUSTRIES LIMITED
DCW,DCW LIMITED
DCXINDIA,DCX SYSTEMS LIMITED
DDEVPLSTIK,DDEV PLASTIKS INDUSTRIES LIMITED
DECCANCE,DECCAN CEMENTS LIMITED
DECCANTRAN,DECCAN TRANSCON LEASING LIMITED
DEEDEV,DEE DEVELOPMENT ENGINEERS LIMITED
DEEM,DEEM ROLL TECH LIMITED
DEEPAKFERT,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED
DEEPAKNTR,DEEPAK NITRITE LIMITED
DEEPINDS,DEEP INDUSTRIES LIMITED
DELAPLEX,DELAPLEX LIMITED
DELTACORP,DELTA CORP LIMITED
DELTIC,DELTA AUTOCORP LIMITED
DEN,DEN NETWORKS LIMITED
DENEERS,DE NEERS TOOLS LIMITED
DENORA,DE NORA INDIA LIMITED
DENTA,DENTA WATER AND INFRA SOLUTIONS LIMITED
DENTALKART,VASA DENTICITY LIMITED
DEVIT,DEV INFORMATION TECHNOLOGY LIMITED
DEVYANI,DEVYANI INTERNATIONAL LIMITED
DHAMPURSUG,DHAMPUR SUGAR MILLS LIMITED
DHANBANK,DHANLAXMI BANK LIMITED
DHANI,DHANI SERVICES LIMITED
DHANLAXMI,DHANLAXMI CROP SCIENCE LIMITED
DHANUKA,DHANUKA AGRITECH LIMITED
DHARIWAL,DHARIWALCORP LIMITED
DHARMAJ,DHARMAJ CROP GUARD LIMITED
DHUNINV,DHUNSERI INVESTMENTS LIMITED
DIAMINESQ,DIAMINES & CHEMICALS LIMITED
DIAMONDYD,PRATAAP SNACKS LIMITED
DICIND,DIC INDIA LIMITED
DIFFNKG,DIFFUSION ENGINEERS LIMITED
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS LIMITED
DIGIKORE,DIGIKORE STUDIOS LIMITED
DIGISPICE,DIGISPICE TECHNOLOGIES LIMITED
DIGITIDE,DIGITIDE SOLUTIONS LIMITED
DISHTV,DISH TV INDIA LIMITED
DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS LIMITED
DIVOPPBEES,NIPPON INDIA ETF NIFTY DIVIDEND OPPORTUNITIES 50
DJML,DJ MEDIAPRINT & LOGISTICS LIMITED
DKEGL,D.K. ENTERPRISES GLOBAL LIMITED
DLINKINDIA,D-LINK (INDIA) LIMITED
DMCC,DMCC SPECIALITY CHEMICALS LIMITED
DNAMEDIA,DILIGENT MEDIA CORPORATION LIMITED
DODLA,DODLA DAIRY LIMITED
DOLATALGO,DOLAT ALGOTECH LIMITED
DOLLAR,DOLLAR INDUSTRIES LIMITED
DOLLEX,DOLLEX AGROTECH LIMITED
DOMS,DOMS INDUSTRIES LIMITED
DONEAR,DONEAR INDUSTRIES LIMITED
DPABHUSHAN,D. P. ABHUSHAN LIMITED
DPSCLTD,DPSC LIMITED
DPWIRES,D P WIRES LIMITED
DRCSYSTEMS,DRC SYSTEMS INDIA LIMITED
DREDGECORP,DREDGING CORPORATION OF INDIA LIMITED
DRSCARGO,DRS CARGO MOVERS LIMITED
DSSL,DYNACONS SYSTEMS & SOLUTIONS LIMITED
DTIL,DHUNSERI TEA & INDUSTRIES LIMITED
DTL,DIENSTEN TECH LIMITED
DUCOL,DUCOL ORGANICS AND COLOURS LIMITED
DUCON,DUCON INFRATECHNOLOGIES LIMITED
DUGLOBAL,DUDIGITAL GLOBAL LIMITED
DURLAX,DURLAX TOP SURFACE LIMITED
DVL,DHUNSERI VENTURES LIMITED
DWARKESH,DWARIKESH SUGAR INDUSTRIES LIMITED
DYCL,DYNAMIC CABLES LIMITED
DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED
DYNPRO,DYNEMIC PRODUCTS LIMITED
EASEMYTRIP,EASY TRIP PLANNERS LIMITED
EBANKNIFTY,EDELWEISS MUTUAL FUND - EDELWEISS NIFTY BANK ETF
EBBETF0430,EDELWEISS MUTUAL FUND - BHARAT BOND  ETF - APRIL 2030
EBBETF0431,EDELWEISS MUTUAL FUND - BHARAT BOND ETF - APRIL 2031
EBBETF0433,EDELWEISS MUTUAL FUND - BHARAT BOND ETF-APRIL 2033
ECAPINSURE,EDELWEISS MUTUAL FUND - EDELWEISS BSE CAPITAL MARKETS & INSURANCE ETF
ECLERX,ECLERX SERVICES LIMITED
ECOSMOBLTY,ECOS (INDIA) MOBILITY & HOSPITALITY LIMITED
EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED
EEPL,EPPELTONE ENGINEERS LIMITED
EFACTOR,E FACTOR EXPERIENCES LIMITED
EFCIL,EFC (I) LIMITED
EFORCE,ELECTRO FORCE (INDIA) LIMITED
EGOLD,EDELWEISS MUTUAL FUND -EDELWEISS GOLD ETF
EIDPARRY,EID PARRY INDIA LIMITED
EIEL,ENVIRO INFRA ENGINEERS LIMITED
EIHAHOTELS,EIH ASSOCIATED HOTELS LIMITED
EIHOTEL,EIH LIMITED
EIMCOELECO,EIMCO ELECON (INDIA) LIMITED
EKC,EVEREST KANTO CYLINDER LIMITED
ELDEHSG,ELDECO HOUSING AND INDUSTRIES LIMITED
ELECON,ELECON ENGINEERING COMPANY LIMITED
ELECTCAST,ELECTROSTEEL CASTINGS LIMITED
ELECTCAST,ELECTROSTEEL CASTINGS LIMITED
ELGIEQUIP,ELGI EQUIPMENTS LIMITED
ELGNZ,ELEGANZ INTERIORS LIMITED
ELIN,ELIN ELECTRONICS LIMITED
ELM250,EDELWEISS MUTUAL FUND - EDELWEISS NIFTY LARGEMIDCAP 250 ETF
EMAMILTD,EMAMI LIMITED
EMAMIPAP,EMAMI PAPER MILLS LIMITED
EMAPARTNER,EMA PARTNERS INDIA LIMITED
EMBASSY,EMBASSY OFFICE PARKS REIT
EMBDL,EMBASSY DEVELOPMENTS LIMITED
EMIL,ELECTRONICS MART INDIA LIMITED
EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LIMITED
EMKAYTOOLS,EMKAY TAPS AND CUTTING TOOLS LIMITED
EMMBI,EMMBI INDUSTRIES LIMITED
EMSLIMITED,EMS LIMITED
EMUDHRA,EMUDHRA LIMITED
EMULTIMQ,EDELWEISS MF - EDELWEISS NIFTY500 MULTICAP MOMENTUM QUALITY 50 ETF
ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED
ENFUSE,ENFUSE SOLUTIONS LIMITED
ENGINERSIN,ENGINEERS INDIA LIMITED
ENIL,ENTERTAINMENT NETWORK (INDIA) LIMITED
ENRIN,SIEMENS ENERGY INDIA LIMITED
ENTERO,ENTERO HEALTHCARE SOLUTIONS LIMITED
ENVIRO,ENVIROTECH SYSTEMS LIMITED
EPACK,EPACK DURABLE LIMITED
EPIGRAL,EPIGRAL LIMITED
EPL,EPL LIMITED
EQUAL200,MIRAE ASSET MUTUAL FUND - MIRAE ASSET BSE 200 EQUAL WEIGHT ETF
EQUAL50,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY50 EQUAL WEIGHT ETF
EQUAL50ADD,DSP  MUTUAL FUND - DSP NIFTY 50 EQUAL WEIGHT ETF
EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED
ERIS,ERIS LIFESCIENCES LIMITED
ESABINDIA,ESAB INDIA LIMITED
ESAFSFB,ESAF SMALL FINANCE BANK LIMITED
ESCORTS,ESCORTS KUBOTA LIMITED
ESG,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 100 ESG SECTOR LEADERS ETF
ESILVER,EDELWEISS MUTUAL FUND - EDELWEISS SILVER ETF
ESPRIT,ESPRIT STONES LIMITED
ESSENTIA,INTEGRA ESSENTIA LIMITED
ESTER,ESTER INDUSTRIES LIMITED
ETHOSLTD,ETHOS LIMITED
ETL,EMKAY TOOLS LIMITED
ETML,EMERALD TYRE MANUFACTURERS LIMITED
EUREKAFORB,EUREKA FORBES LIMITED
EUROBOND,EURO PANEL PRODUCTS LIMITED
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED
EVERESTIND,EVEREST INDUSTRIES LIMITED
EVIETF,ICICI PRUDENTIAL MF-ICICI PRUDENTIAL NIFTY EV & NEW AGE AUTOMOTIVE ETF
EVINDIA,MIRAE ASSET MF - MIRAE ASSET NIFTY EV AND NEW AGE AUTOMOTIVE ETF
EXCELINDUS,EXCEL INDUSTRIES LIMITED
EXCELLENT,EXCELLENT WIRES AND PACKAGING LIMITED
EXICOM,EXICOM TELE-SYSTEMS LIMITED
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED
EXXARO,EXXARO TILES LIMITED
FACT,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED
FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED
FAZE3Q,FAZE THREE LIMITED
FCL,FINEOTEX CHEMICAL LIMITED
FCSSOFT,FCS SOFTWARE SOLUTIONS LIMITED
FDC,FDC LIMITED
FEDFINA,FEDBANK FINANCIAL SERVICES LIMITED
FIBERWEB,FIBERWEB (INDIA) LIMITED
FIDEL,FIDEL SOFTECH LIMITED
FIEMIND,FIEM INDUSTRIES LIMITED
FILATEX,FILATEX INDIA LIMITED
FILATFASH,FILATEX FASHIONS LIMITED
FINCABLES,FINOLEX CABLES LIMITED
FINEORG,FINE ORGANIC INDUSTRIES LIMITED
FINIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRU NIFTY FIN SER EX-BANK ETF
FINOPB,FINO PAYMENTS BANK LIMITED
FINPIPE,FINOLEX INDUSTRIES LIMITED
FIRSTCRY,BRAINBEES SOLUTIONS LIMITED
FISCHER,FISCHER MEDICAL VENTURES LIMITED
FIVESTAR,FIVE-STAR BUSINESS FINANCE LIMITED
FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITED
FMCGIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRUDENTIAL NIFTY FMCG ETF
FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LIMITED.
FONEBOX,FONEBOX RETAIL LIMITED
FORCEMOT,FORCE MOTORS LTD
FOSECOIND,FOSECO INDIA LIMITED
FRESHARA,FRESHARA AGRO EXPORTS LIMITED
FROG,FROG CELLSAT LIMITED
FSL,FIRSTSOURCE SOLUTIONS LIMITED
FUSION,FUSION FINANCE LIMITED
FUSIONPP,FUSION FINANCE LIMITED
GABRIEL,GABRIEL INDIA LIMITED
GAEL,GUJARAT AMBUJA EXPORTS LIMITED
GAJANAND,GAJANAND INTERNATIONAL LIMITED
GALAPREC,GALA PRECISION ENGINEERING LIMITED
GALAXYSURF,GALAXY SURFACTANTS LIMITED
GALLANTT,GALLANTT ISPAT LIMITED
GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED
GANDHITUBE,GANDHI SPECIAL TUBES LIMITED
GANECOS,GANESHA ECOSPHERE LIMITED
GANESHBE,GANESH BENZOPLAST LIMITED
GANESHHOU,GANESH HOUSING LIMITED
GANGESSECU,GANGES SECURITIES LIMITED
GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED
GARUDA,GARUDA CONSTRUCTION AND ENGINEERING LIMITED
GATEWAY,GATEWAY DISTRIPARKS LIMITED
GCSL,GRETEX CORPORATE SERVICES LIMITED
GEECEE,GEECEE VENTURES LIMITED
GEEKAYWIRE,GEEKAY WIRES LIMITED
GEMAROMA,GEM AROMATICS LIMITED
GENCON,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED
GENESYS,GENESYS INTERNATIONAL CORPORATION LIMITED
GENUSPAPER,GENUS PAPER & BOARDS LIMITED
GEOJITFSL,GEOJIT FINANCIAL SERVICES LIMITED
GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED
GFLLIMITED,GFL LIMITED
GGBL,GANESH GREEN BHARAT LIMITED
GHCL,GHCL LIMITED
GHCLTEXTIL,GHCL TEXTILES LIMITED
GICHSGFIN,GIC HOUSING FINANCE LIMITED
GICL,GLOBE INTERNATIONAL CARRIERS LIMITED
GICRE,GENERAL INSURANCE CORPORATION OF INDIA
GILLANDERS,GILLANDERS ARBUTHNOT & COMPANY LIMITED
GILLETTE,GILLETTE INDIA LIMITED
GILT5YBEES,NIPPON INDIA ETF NIFTY 5 YR BENCHMARK GSEC
GIPCL,GUJARAT INDUSTRIES POWER COMPANY LIMITED
GKWLIMITED,GKW LIMITED
GLAND,GLAND PHARMA LIMITED
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED
GLOBALPET,GLOBAL PET INDUSTRIES LIMITED
GLOBALVECT,GLOBAL VECTRA HELICORP LIMITED
GLOBECIVIL,GLOBE CIVIL PROJECTS LIMITED
GLOBUSSPR,GLOBUS SPIRITS LIMITED
GLOSTERLTD,GLOSTER LIMITED
GMBREW,GM BREWERIES LIMITED
GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED
GMMPFAUDLR,GMM PFAUDLER LIMITED
GMRP&UI,GMR POWER AND URBAN INFRA LIMITED
GNA,GNA AXLES LIMITED
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED
GOACARBON,GOA CARBON LIMITED
GOCLCORP,GOCL CORPORATION LIMITED
GOCOLORS,GO FASHION (INDIA) LIMITED
GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED
GODIGIT,GO DIGIT GENERAL INSURANCE LIMITED
GODREJAGRO,GODREJ AGROVET LIMITED
GODREJIND,GODREJ INDUSTRIES LIMITED
GOKEX,GOKALDAS EXPORTS LIMITED
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED
GOKULAGRO,GOKUL AGRO RESOURCES LIMITED
GOLD1,KOTAK MUTUAL FUND - GOLD EXCHANGE TRADED FUND
GOLD360,360 ONE MUTUAL FUND - 360 ONE GOLD ETF
GOLDBEES,NIPPON INDIA ETF GOLD BEES
GOLDCASE,ZERODHA FUND HOUSE - ZERODHA GOLD ETF
GOLDETF,MIRAE ASSET MUTUAL FUND - MIRAE ASSET GOLD ETF
GOLDETFADD,DSP MUTUAL FUND - DSP GOLD ETF
GOLDIAM,GOLDIAM INTERNATIONAL LIMITED
GOLDIETF,ICICI PRUDENTIAL GOLD ETF
GOLDSHARE,UTI MUTUAL FUND - UTI GOLD EXCHANGE TRADED FUND
GOLDTECH,AION-TECH SOLUTIONS LIMITED
GOODLUCK,GOODLUCK INDIA LIMITED
GOYALALUM,GOYAL ALUMINIUMS LIMITED
GOYALSALT,GOYAL SALT LIMITED
GPIL,GODAWARI POWER AND ISPAT LIMITED
GPPL,GUJARAT PIPAVAV PORT LIMITED
GPTHEALTH,GPT HEALTHCARE LIMITED
GPTINFRA,GPT INFRAPROJECTS LIMITED
GRANULES,GRANULES INDIA LIMITED
GRAPHITE,GRAPHITE INDIA LIMITED
GRAVITA,GRAVITA INDIA LIMITED
GREAVESCOT,GREAVES COTTON LIMITED
GREENCHEF,GREENCHEF APPLIANCES LIMITED
GREENLAM,GREENLAM INDUSTRIES LIMITED
GREENPANEL,GREENPANEL INDUSTRIES LIMITED
GREENPLY,GREENPLY INDUSTRIES LIMITED
GREENPOWER,ORIENT GREEN POWER COMPANY LIMITED
GRINDWELL,GRINDWELL NORTON LIMITED
GRINFRA,G R INFRAPROJECTS LIMITED
GRMOVER,GRM OVERSEAS LIMITED
GROBTEA,THE GROB TEA COMPANY LIMITED
GROWWDEFNC,GROWW MUTUAL FUND - GROWW NIFTY INDIA DEFENCE ETF
GROWWEV,GROWW MUTUAL FUND - GROWW NIFTY EV & NEW AGE AUTOMOTIVE ETF
GROWWGOLD,GROWW MUTUAL FUND - GROWW GOLD ETF
GROWWLIQID,GROWW MUTUAL FUND - GROWW NIFTY 1D RATE LIQUID ETF
GROWWLOVOL,GROWW MUTUAL FUND - GROWW NIFTY 500 LOW VOLATILITY 50 ETF
GROWWMOM50,GROWW MUTUAL FUND - GROWW NIFTY 500 MOMENTUM 50 ETF
GROWWN200,GROWW MUTUAL FUND - GROWW NIFTY 200 ETF
GROWWNET,GROWW MUTUAL FUND - GROWW NIFTY INDIA INTERNET ETF
GROWWNIFTY,GROWW MUTUAL FUND - GROWW NIFTY 50 ETF
GROWWNXT50,GROWW MUTUAL FUND - GROWW NIFTY NEXT 50 ETF
GROWWPOWER,GROWW MUTUAL FUND - GROWW BSE POWER ETF
GROWWRAIL,GROWW MUTUAL FUND - GROWW NIFTY INDIA RAILWAYS PSU ETF
GROWWSLVR,GROWW MUTUAL FUND - GROWW SILVER ETF
GRPLTD,GRP LIMITED
GRWRHITECH,GARWARE HI-TECH FILMS LIMITED
GSEC10ABSL,ADITYABIRLASUNLIFEMF - ADITYA BIRLA SUN LIFE CRISIL 10 YEAR GILT ETF
GSEC10IETF,ICICI PRU MUTUAL FUND-ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF
GSEC10YEAR,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 8-13 YR G-SEC ETF
GSEC5IETF,ICICI PRUDENTIAL NIFTY 5 YR BENCHMARK G-SEC ETF
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED
GSLSU,GLOBAL SURFACES LIMITED
GSPL,GUJARAT STATE PETRONET LIMITED
GSS,GSS INFOTECH LIMITED
GTL,GTL LIMITED
GTLINFRA,GTL INFRASTRUCTURE LIMITED
GTPL,GTPL HATHWAY LIMITED
GUFICBIO,GUFIC BIOSCIENCES LIMITED
GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED
GUJGASLTD,GUJARAT GAS LIMITED
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED
GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED
GULFPETRO,GP PETROLEUMS LIMITED
GULPOLY,GULSHAN POLYOLS LIMITED
GVPIL,GE POWER INDIA LIMITED
HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED
HARDWYN,HARDWYN INDIA LIMITED
HARIOMPIPE,HARIOM PIPE INDUSTRIES LIMITED
HARRMALAYA,HARRISONS  MALAYALAM LIMITED
HARSHA,HARSHA ENGINEERS INTERNATIONAL LIMITED
HATHWAY,HATHWAY CABLE & DATACOM LIMITED
